OPUS    TIME   LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV   ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP    DCPA    CROSSING_DIST
1    31.29016399383545    10.0    250.0    10.0    4.0847306171713855    0.33892955700118466    0.2209367987823812    0.2898850074030417    0.0    192.1764586937153
2    31.312791347503662    10.0    250.0    10.0    5.464610245648907    1.9044975561050697    0.34256680161380976    1.3205976253304252    0.0    185.6365403512723
3    31.31706929206848    10.0    250.0    10.0    7.811708863505174    0.4479770087634111    0.42352589749157826    0.4378733888088881    0.0    -1.0
4    31.191000938415527    10.0    250.0    10.0    12.043784146339565    0.6058113801171212    0.5977463582072308    0.6021393307037285    0.0    -1.0
5    31.068389892578125    10.0    250.0    10.0    4.965532249064268    0.3428631885345424    0.2740852785852481    0.31543167790742416    0.0    -1.0
6    31.045698642730713    10.0    250.0    10.0    5.839802369814113    0.3739081591241995    0.30284899084764794    0.3457131248563656    0.0    -1.0
7    31.239777326583862    10.0    250.0    10.0    3.9277819297007768    0.28924315210843576    0.2211025102482455    0.2624335046832036    0.0    -1.0
8    31.228535652160645    10.0    250.0    10.0    4.253372094785501    0.31454160524296537    0.25969625902123644    0.2929050103116733    0.0    -1.0
9    31.233476161956787    4.7205709733324195    112.23231603632368    4.7205709733324195    4.837351212341225    0.27769444997057147    0.2163497100956759    0.25321697087829204    2.6610224884270473    -1.0
10    31.1640682220459    10.0    250.0    10.0    4.5162503353106755    0.30934903844931155    0.24578430007491528    0.28486194747703364    0.0    0.0
11    31.26412296295166    10.0    250.0    10.0    4.260103954396919    0.28234028231344094    0.21962850182513172    0.2582971816922213    0.0    0.0
