OPUS    TIME   LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV   ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP    DCPA    CROSSING_DIST
1    31.105205535888672    10.0    250.0    10.0    5.067881563277424    0.6315770932736319    0.5281974331458004    0.5911620186576645    0.0    -1.0
2    31.21727442741394    10.0    250.0    10.0    3.210276565936224    0.2526871863734169    0.1701346771044652    0.22055967810325297    0.0    -1.0
3    31.151130437850952    10.0    250.0    10.0    7.552406124127773    0.39558177616185747    0.3777481341435354    0.38802038188433047    0.0    -1.0
4    31.207316637039185    10.0    250.0    10.0    10.19716357724803    0.4686227754138153    0.46199681485797633    0.4656251418147289    0.0    -1.0
5    31.22614288330078    10.0    250.0    10.0    4.187891337570598    0.300451310131891    0.2373990502517436    0.27546315086580614    0.0    -1.0
6    31.23937726020813    10.0    250.0    10.0    4.811876385342301    0.340311758086618    0.2702728463093208    0.312491284548501    0.0    -1.0
7    31.12031841278076    10.0    250.0    10.0    4.611263598847296    0.28530302040291045    0.22053149265324976    0.25989420735179986    0.0    -1.0
8    31.043967723846436    10.0    250.0    10.0    5.340600163297662    0.5739669160442918    0.4548907670607902    0.5280299847606892    0.0    -1.0
9    31.088274717330933    10.0    250.0    10.0    4.765659938039186    0.3222442663244305    0.23624984712198446    0.28928704381771686    0.0    -1.0
10    31.177665948867798    4.724294277443926    112.65096998439908    4.724294277443926    5.438772502340231    0.35691877816453776    0.2896088724270072    0.3298875752606062    2.6562160159246915    -1.0
11    31.031638860702515    10.0    250.0    10.0    4.254445082707588    0.2918863270170511    0.2213009855636951    0.2650092912640771    0.0    0.0
12    31.124831676483154    10.0    250.0    10.0    5.065294150763969    1.7874057128287149    0.2875011866792886    1.2937359465356788    0.0    0.0
13    31.22336506843567    10.0    250.0    10.0    7.194091430614294    0.47748983296059566    0.45157328627731735    0.4668455823992906    0.0    0.0
14    31.214825868606567    10.0    250.0    10.0    11.069189614798033    0.4539436421497615    0.44959019106557435    0.4519581273695918    0.0    0.0
15    31.11656141281128    10.0    250.0    10.0    3.7235340856755377    0.2633592668035872    0.20973923688422444    0.24244102623124947    0.0    0.0
16    31.125279664993286    10.0    250.0    10.0    5.30869945658197    1.7878777878190122    0.276164280390512    1.292591028179717    0.0    0.28025922319615404
17    31.130810737609863    10.0    250.0    10.0    4.255611278976355    0.2900641137075479    0.2228761235243793    0.26368149926156176    0.0    13.860125717031377
18    31.07631015777588    10.0    250.0    10.0    4.224433512687589    0.29835533042381207    0.23559619544088428    0.27432657961794155    0.0    -1.0
19    31.105555772781372    10.0    250.0    10.0    5.264174828987012    0.3061278547424273    0.26402100170173587    0.2892752373570508    0.0    -1.0
20    31.11691403388977    4.814586845877036    123.2958615920925    4.814586845877036    5.359173746793439    0.29811053124848885    0.24736147678303658    0.27792884290235836    2.2371704661167726    -1.0
21    38.115070819854736    4.935572527513302    139.15278853012651    4.935572527513302    6.444775309740037    0.3722080132374002    0.3041768993374451    0.34441412972980745    1.9214764683944345    190.44652022665545
22    38.265726804733276    4.94436880422641    140.3822142205523    4.94436880422641    5.478476073464707    0.336463707208193    0.2671083336673772    0.30915168156884304    1.9053618491262192    190.98743521331212
23    39.975241899490356    4.907993871295091    135.3675770472386    4.907993871295091    9.974860364006    0.5047306990678689    0.4749738250872772    0.49255713275580226    1.8920697324208717    58.99825575867479
24    50.54518532752991    10.0    250.0    10.0    16.15259937717204    0.806769760668124    0.8003692155964793    0.8038640965041667    0.0    15.826420059205677
25    37.899070501327515    4.946339164688934    140.65909046852315    4.946339164688934    5.249137671738707    0.3511005902714633    0.25839863658353074    0.31460658058696395    1.89757875215075    187.8260735983576
26    38.97183442115784    4.92369324060763    137.50953231179082    4.92369324060763    5.934926489651589    0.40854715442111283    0.3224257705716466    0.37420523701729486    1.9165841910768577    147.0278379957003
27    39.973381996154785    4.946862297576913    140.7326931150445    4.946862297576913    5.550888802351427    0.26828971542685814    0.2118026582197522    0.24525680737347608    1.842286522717263    120.9672142595121
28    37.751699924468994    4.9368046772771255    139.32435127944427    4.9368046772771255    8.057702854149664    0.5411665127048201    0.44568374553339624    0.502700431863704    1.9209224703438998    -1.0
29    37.34704780578613    4.927970043268374    138.09889283645506    4.927970043268374    5.284857326120401    0.25364865610945947    0.20156990576758657    0.23274335919951336    1.9361349698051384    -1.0
30    37.23505091667175    4.661924692679527    105.83959493763506    4.661924692679527    5.509578643508417    0.35121731289855007    0.29593630757782985    0.3283352177797948    2.5393422788017794    -1.0
31    38.17302370071411    5.050171726125795    156.04925992043033    5.050171726125795    4.990099145773968    0.2543832566492373    0.20682086510432246    0.23579229748030106    1.636262124912406    -1.0
32    38.01707053184509    5.049794939492069    155.99047372071223    5.049794939492069    6.268197796442015    0.3040073355587428    0.25225468607686896    0.2833558902589143    1.6331841718681588    -1.0
33    38.41334843635559    5.0545170044158185    156.72881273553955    5.0545170044158185    6.1293301147348425    0.2542165957448126    0.22147118618342562    0.24172854976117553    1.6347565370879984    -1.0
34    38.690356492996216    5.1177410888920125    166.95780050399523    5.1177410888920125    6.53492922006502    0.3147328905056217    0.29577823257141916    0.30694827352117177    1.5571035077975708    -1.0
35    43.34297037124634    5.257907360327468    192.07911805027612    5.257907360327468    16.897413943731245    1.6374932674424256    1.6154330805360608    1.6273266652901914    1.359922060602809    -1.0
36    38.14833474159241    5.08410122173004    161.4347799421337    5.08410122173004    7.046326852985933    0.39967413705955307    0.33129330101188725    0.3728640269812488    1.577822805575174    -1.0
