OPUS    TIME   LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV   ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP
1    31.18358826637268    5.397361901361168    220.8230940080216    5.393346009792539    12.292740189413312    0.6632174885662017    0.5265991557999876    0.6069815662337854
2    31.17104434967041    5.382110664611349    217.48082040866507    5.390985594724961    12.062699864702676    0.6040788606039332    0.4612375106757945    0.5452608008568931
3    31.16367244720459    5.390461805095771    219.30463817210168    5.402296836589841    36.126063611385625    0.9044043002795096    0.8308697062604297    0.8748642521031966
4    31.22454285621643    5.390656673122473    219.34737779834694    5.3504963377910855    40.06273409203727    0.6175735271014989    0.6076037658493089    0.6131654440309431
5    31.141088008880615    4.401466532680018    81.57040665744302    4.399458451396076    5.21401891628313    0.4977956837687381    0.3693684403159417    0.4451187652679449
6    31.14184260368347    3.545409462835622    34.65387191028413    3.5429470035092208    5.356427433908733    0.710180264389594    0.5269400121988681    0.6294017245873054
7    31.12777590751648    3.853499157114668    47.15778737287673    3.851961461268005    6.327716963967927    0.6556959577324203    0.5192572895990758    0.5998855558476356
8    31.056255340576172    3.271000013699176    26.337664203469448    3.2725609569761858    3.685141454035706    0.5759554450811635    0.44976689355585653    0.5249700679496077
9    31.176286697387695    2.6401877551278465    14.015834905580626    2.6387016051102856    2.973768536396009    0.5651210573481771    0.4308306683478281    0.5107863607587497
