OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_ACC    ANTICIPATION_OMEGA    ANTICIPATION_R    AGG_ACC    AGG_OMEGA    AGG_R    DCPA    CROSSING_DIST    ANT_TIME    AGG_TIME    N_CROSS
2017    65.18350768089294    -2.177529137412094    0.11332118608219478    -2.177529137412094    0.24500937816333088    0.00442572588564324    0.003091698633485259    -2.177529137412094    -2.177529137412094    -2.177529137412094    61.482416890756085    -1.0    4.121875006103567    41.07598413374464    0.0
2018    65.08089327812195    -2.1682326438613293    0.11437958784769806    -2.1682326438613293    0.24720224351535663    0.00447237693196589    0.0030682281989273807    -2.1682326438613293    -2.1682326438613293    -2.1682326438613293    61.622268965718646    -1.0    3.4234648510278283    35.250086385385835    0.0
2019    65.15603923797607    -1.5087072389792564    0.22119574644335718    -1.5087072389792564    0.24531065915048678    0.0049071828472474    0.0033533611405259004    -1.5087072389792564    -1.5087072389792564    -1.5087072389792564    31.44361908955272    70.0    3.8389906381205665    18.0375179111056    0.859947833864462
2015    73.41997814178467    -0.2817249949826777    0.7544811421053988    0.35899667580340416    2.610940188977354    0.005923734942281468    0.0003829200411352696    -0.2817249949826777    -0.2817249949826777    -0.2817249949826777    80.67063852994238    -1.0    3.2147402281335817    2.371536211291056    0.0
2016    73.40962553024292    -0.31924968602952686    0.7266940812924285    0.3722153146489894    2.6068280208302554    0.0065667175478102266    0.00042511653661795804    -0.31924968602952686    -0.31924968602952686    -0.31924968602952686    80.71602587187982    -1.0    3.227143306695613    2.5898069279583154    0.0
2014    200.0019495487213    -1.9579376989811512    0.14114921313349824    -1.276016332032289    1.487749250295524    0.017603386702582925    0.0019069454770615946    -1.9579376989811512    -1.9579376989811512    -1.9579376989811512    343.9162472290972    -1.0    2.976820552837115    25.197764799444357    0.0
2023    43.02976417541504    -1.1615096124983595    0.3130132952527166    -1.1615096124983595    0.4277414935311617    0.016019403893274557    0.006664261314338362    -1.1615096124983595    -1.1615096124983595    -1.1615096124983595    22.711318241229556    26.0    2.6577091740634637    9.027766265918567    0.9468422108995114
2024    43.099634647369385    -1.1581510180162922    0.3140663473766098    -1.1581510180162922    0.42591737237381283    0.01568627116407401    0.006546457013477551    -1.1581510180162922    -1.1581510180162922    -1.1581510180162922    22.69835932521196    26.0    1.8411749770463228    7.205241491252821    0.9464953857359816
2021    47.3237829208374    -1.3944221088733901    0.24797629827073062    -1.3944221088733901    0.29124301860099233    0.009060218125057345    0.004886428773370856    -1.3944221088733901    -1.3944221088733901    -1.3944221088733901    26.65030001294852    36.0    3.653201124289114    15.111500005368589    0.9267178747772007
2022    47.268052101135254    -1.3883676395824633    0.24948221732366574    -1.3883676395824633    0.30343402960702004    0.008155918234101842    0.0045112781064291195    -1.3883676395824633    -1.3883676395824633    -1.3883676395824633    26.660041797798364    36.0    6480467.384437723    19495205.16632483    0.9265869499439903
2020    65.36924839019775    -1.48872342249253    0.22566054491975632    -1.48872342249253    0.24630680671605276    0.005406432828622571    0.0037620259626892044    -1.48872342249253    -1.48872342249253    -1.48872342249253    31.30156736075692    69.0    4.115449554386769    18.553331805712293    0.8604618245274559
2025    90.5177001953125    -0.8444278567784648    0.4298031968622528    -0.16128396396241862    0.20587906344383913    0.08912629648864039    0.0823913845112039    -0.8444278567784648    -0.8444278567784648    -0.8444278567784648    21.448884179552344    -1.0    4.632304917649577    8.472076247422743    0.0
2031    65.06476926803589    -1.6547185476267825    0.19114584658747658    -0.9621403571870653    0.24530866293415168    0.004675047109319913    0.0031949919754716755    -1.6547185476267825    -1.6547185476267825    -1.6547185476267825    36.392929031558694    -1.0    9944335.784453511    42080528.799264    0.0
2029    78.79380059242249    -1.1422054384504892    0.319114457870182    -0.45618123160797336    0.20321319903659735    0.06960157844408614    0.06440807264693026    -1.1422054384504892    -1.1422054384504892    -1.1422054384504892    25.17054391754351    -1.0    7785288.559672875    16611254.334789103    0.0
2030    79.75051879882812    -1.1457865292268072    0.3179737237837552    -0.457962040417515    0.21514517973380315    0.08709825902091065    0.07838639680245363    -1.1457865292268072    -1.1457865292268072    -1.1457865292268072    25.262682018820534    -1.0    3.706629194508586    11.095314621796906    0.0
2028    83.46822428703308    -0.9617931595425645    0.3822069131560066    -0.2728510998360662    0.22836847428694165    0.09833109881926962    0.08750369546222808    -0.9617931595425645    -0.9617931595425645    -0.9617931595425645    22.326217590434837    -1.0    4.112002495402806    9.262958342409732    0.0
2027    84.15303778648376    -0.960208807477314    0.38281294342410177    -0.27677791323231504    0.23089086790479985    0.10137148068576733    0.09006963479451538    -0.960208807477314    -0.960208807477314    -0.960208807477314    22.328364137319383    -1.0    4.095178703277544    9.214660451332279    0.0
2026    89.9952666759491    -0.8258877892708132    0.43784610479123853    -0.1380308918750065    0.18573451591066165    0.09156203777039634    0.08345490512391067    -0.8258877892708132    -0.8258877892708132    -0.8258877892708132    20.727162988365123    -1.0    4.426197367787244    7.9667354650271776    0.0
2032    65.19146037101746    -1.6294295587377334    0.19604137232461055    -0.9380555765789127    0.23630070616229618    0.0044195188664534445    0.0030040366995551094    -1.6294295587377334    -1.6294295587377334    -1.6294295587377334    36.3893949664102    -1.0    3.8402242336265435    20.84958576021481    0.0
