OPUS    TIME   LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV   ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP
1    31.235912799835205    5.3141031466693605    203.18220675117507    5.391199496180725    1.3880292441528324    0.1644464355045217    0.10218058234375794    0.13873374363478747
2    31.20304822921753    5.200086211254934    181.28787025626943    5.372494622601864    6.084154860467825    0.35093879544110257    0.31851649170409985    0.3364730063975588
3    31.295652866363525    5.235218604653011    187.77014928627696    5.338845648926655    39.4787747957695    1.0300371526965408    1.0275675367749635    1.0289329120913273
4    31.287333488464355    5.289341610559818    198.21288117175155    5.394382203531025    8.110121885141359    0.26729990417675736    0.2626565073788117    0.26522170865588235
5    31.28210210800171    4.406980194738774    82.02140048499055    4.385853751985845    2.9188276592351037    0.6912914542936751    0.21561011954682296    0.5154970930957158
6    31.110486268997192    3.5420038663084523    34.53605553584166    3.542866845345196    3.823409433808209    0.3057099830522858    0.2620435241015865    0.28727070938396937
7    31.075859546661377    3.8464187093153503    46.82506841068187    3.8448734475004636    5.635295399750771    0.41775507829013425    0.34940841263738776    0.38842872668588374
8    31.166436195373535    3.2689997744168138    26.285035225745506    3.26783667850471    1.188278870976937    0.34608728455269494    0.190944241401228    0.2871924699393908
9    31.20013689994812    2.6395977834784445    14.007568399085642    2.6392369484285574    1.6739695417824338    0.3275836729361469    0.22151311672425522    0.285654323808817
10    31.211700201034546    5.130168454978625    169.04559221813543    5.029880609081838    2.128165992600675    0.1302220928037925    0.08535667899843315    0.11299406171841632
