OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_ACC    ANTICIPATION_OMEGA    ANTICIPATION_R    AGG_ACC    AGG_OMEGA    AGG_R    DCPA    CROSSING_DIST    ANT_TIME    AGG_TIME
2    68.57069134712219    8.76394677836978    6399.318494028668    8.76394677836978    1.1634059318014305    0.09203785595789217    0.01687815351009551    18.95997444631722    9.57056164958001    8.911866017449412    0.0    -1.0    1.4355029786313842    0.00015626664010130452
3    68.80185341835022    8.761054446539573    6380.836282685379    8.761054446539573    1.1982848680755696    0.09430716580169253    0.017094229859342922    19.259293418214128    9.587284660827036    8.91081792505894    0.0    -1.0    1.363088376020065    0.00015671926933990372
4    68.72462177276611    8.781241263205695    6510.953967189802    8.781241263205695    1.2689336687490513    0.1014000255090994    0.01774164594480444    19.92405395549585    9.67165935129631    8.937034936653397    0.0    -1.0    7467549.218817141    0.0001535873245363476
6    68.66709327697754    8.786599899847774    6545.937451872234    8.786599899847774    1.2734912374949836    0.10256461638191525    0.017744896171480742    19.976257879678215    9.687794147877035    8.942517202770915    0.0    -1.0    1.336687683837338    0.00015276650706675868
1    69.77892184257507    8.792426486797416    6584.189256116333    8.792426486797416    1.3814290672726608    0.11047585151971896    0.018123162682858483    20.938540007517407    9.763777289850891    8.95177306239472    0.0    0.0    4083689.653006852    0.0001518789878451713
5    69.20577144622803    8.751497740951311    6320.1469657905345    8.751497740951311    1.1396776358818796    0.08978880423847292    0.016787986320200305    18.725383996784313    9.537284258407027    8.898417765307666    0.0    -1.0    1.507832584684281    0.00015822416874366438
7    69.23799729347229    8.751820453462795    6322.1868854269    8.751820453462795    1.1609870850439343    0.09815541238268273    0.017914189172039467    18.912570970556448    9.610858999171633    8.908602220665852    0.0    -1.0    1.4656689512883796    0.00015817311606290422
8    69.76407623291016    8.727596719002646    6170.879917714387    8.727596719002646    1.0511293210259502    0.08537740115293048    0.016828635639234677    17.90142953243621    9.472736245181935    8.874470264192922    0.0    -1.0    1.6773798802523587    0.0001620514437704999
