OPUS    TIME   LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV   ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP    DCPA    CROSSING_DIST
1    38.45132851600647    5.21904088065908    184.7568951521501    5.21904088065908    8.56974775267474    0.366582925918249    0.32462477383300975    0.3504071021393054    1.3287997586961176    -1.0
2    35.82019305229187    5.285519215210395    197.45667934845122    5.285519215210395    7.01340428403174    0.2201585527107384    0.18467971128395558    0.20690591897931426    1.2666066207551765    -1.0
3    31.247567653656006    5.099055402547685    163.8670457765574    5.099055402547685    5.560596334379847    0.2217828016171869    0.1909421713943679    0.21008113743653353    1.5794670121976715    -1.0
4    44.050578594207764    4.776467532543769    118.68436004162511    4.776467532543769    7.0218328325996255    0.7301879749151611    0.6178914395776931    0.6870034462695224    1.8987074566000892    -1.0
5    46.07544231414795    4.52383726711937    92.1886726864096    4.52383726711937    9.14865880596041    1.010665691559112    0.7089268322815159    0.9051461334819987    2.2899229280653195    -1.0
6    57.89178943634033    3.310436791330188    27.397089670024247    3.310436791330188    5.478869083486086    0.6881072134227469    0.5473477501333022    0.6363178993466475    7.612591260977453    64.64696752206908
7    30.84870171546936    1.3906166610969843    4.017326618354384    1.56589647516915    1.0305258347312392    0.3518968814959248    0.23926387302143337    0.3127555075274897    62.04257787197177    -1.0
8    30.933377504348755    1.6735827718720846    5.331234217466738    1.914296288744009    1.481924110971559    0.5588508433966679    0.3327193986017186    0.48385779877700436    46.725306038674866    -1.0
9    60.829700231552124    3.303708806664903    27.213381157852478    3.303708806664903    5.519935731180798    0.64433494493759    0.5646885255650727    0.6133997971362989    7.654381871628914    53.74742297150286
10    60.338319540023804    3.3119043427847066    27.4373258259122    3.3119043427847066    6.102362947942065    0.8576638350826533    0.6817291593095065    0.792974802210378    7.570424560842834    56.930172473548126
11    60.08742713928223    3.3874780218778566    29.591229651780402    3.3874780218778566    5.8385956650260935    0.5757203523435185    0.49581641977839314    0.545059539531327    6.926863334221856    59.80832317829399
