OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV    ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP    DCPA    CROSSING_DIST
1    30.551565408706665    10.296834182288515    29638.63964053704    10.296834182288515    0.04522739477512777    0.0470123542880438    0.022859156886473504    0.03396241207962862    0.0    -1.0
2    30.63019609451294    10.29964913949467    29722.188681090567    10.29964913949467    0.044186568827727375    0.04596454989010455    0.009560936034100112    0.030292661677206345    0.0    -1.0
3    30.70633888244629    10.296879344730474    29639.97822410616    10.296879344730474    0.011346287481907953    0.011532933883586333    0.010768139229114017    0.011354857851840575    0.0    -1.0
4    30.562577486038208    10.293444536302022    29538.345221950458    10.293444536302022    0.009752011718722944    0.009235493729032093    0.008530687418714333    0.009039603664019402    0.0    -1.0
5    30.698179244995117    10.296143945267238    29618.189012898903    10.296143945267238    0.047102892408627535    0.04893283376855572    0.00884013433254708    0.03220876088086852    0.0    -1.0
6    30.833143711090088    10.296252679034128    29621.40968525351    10.296252679034128    0.06006311265439058    0.06253399042718795    0.02670789524321304    0.04382198082818415    0.0    -1.0
7    30.696669101715088    10.297196316442657    29649.37474789034    10.297196316442657    0.02726133445818427    0.028309024104305754    0.008736441197274777    0.019439774276789508    0.0    -1.0
8    30.701546669006348    10.294424411545616    29567.30330050533    10.294424411545616    0.046705600468655226    0.048508000191974154    0.0055771125632903375    0.031683269624774635    0.0    -1.0
9    30.793565273284912    10.298384779745254    29684.6328890766    10.298384779745254    0.047159384032612606    0.04898028179560842    0.009880814369216541    0.03241974687479257    0.0    -1.0
10    30.71275544166565    4.70431306172554    110.42240551150763    4.70431306172554    0.04497830200832987    0.04630812382396694    0.0060957277861418396    0.0315667012083713    2.6667845122135496    -1.0
11    30.61459231376648    10.215393667534155    27320.52875228305    10.215393667534155    0.03984572057481711    0.04143292449940073    0.005132179470681418    0.026810192793763458    0.0    0.0
12    30.523000478744507    10.219434544137048    27431.150992581886    10.219434544137048    0.037923135196184114    0.039406369958119164    0.008843000005979667    0.02615737907903457    0.0    0.0
13    30.620458602905273    10.21561647149605    27326.616552497944    10.21561647149605    0.007807297811766934    0.007866576184229654    0.007310911018831875    0.007733794015201859    0.0    0.0
