OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_ACC    ANTICIPATION_OMEGA    ANTICIPATION_R    AGG_ACC    AGG_OMEGA    AGG_R    DCPA    CROSSING_DIST    ANT_TIME    AGG_TIME    N_CROSS
1    73.87531876564026    -1.863922661747979    0.15506317541993883    -1.863922661747979    0.6598886947790464    0.0056554028864710835    0.0014483997626557647    -1.863922661747979    -1.863922661747979    -1.863922661747979    61.95606118278255    -1.0    1.5137491486208734    14.697379907734325    0.0
2    74.23187780380249    -1.3295173288804463    0.2646049476484095    -1.3295173288804463    1.1475692371132555    0.06197524890775491    0.015682736849667086    -1.3295173288804463    -1.3295173288804463    -1.3295173288804463    38.0549500782527    -1.0    0.6993151984431891    5.722768793354018    0.0
3    77.73815298080444    -0.7555855354088659    0.4697354874293195    -0.7555855354088659    1.0836081721963347    0.08804609092244238    0.024042799424338696    -0.7555855354088659    -0.7555855354088659    -0.7555855354088659    19.33794838146877    -1.0    0.7282405986277604    2.9509376727133136    0.0
4    77.89269733428955    -0.8109267775441505    0.444445972745818    -0.8109267775441505    0.8920197035366109    0.07401622373351066    0.020661711173135096    -0.8109267775441505    -0.8109267775441505    -0.8109267775441505    20.222990560207336    -1.0    0.8426504345259712    3.3032987865727135    0.0
5    80.74239730834961    -0.5915117971730282    0.5534898874594211    -0.5915117971730282    0.5462481307575972    0.05566070568461565    0.016134382209816136    -0.5915117971730282    -0.5915117971730282    -0.5915117971730282    12.729631424015398    -1.0    0.9416969532192085    2.566401382834968    0.0
6    80.64196228981018    -0.5634301278651251    0.5692531002425152    -0.5634301278651251    0.5466281893893175    0.05771918720777071    0.016891486153255978    -0.5634301278651251    -0.5634301278651251    -0.5634301278651251    12.061098414314344    -1.0    0.964819578619094    2.486755086116214    0.0
11    77.78899765014648    -0.8389663646062323    0.4321569854056584    -0.1472900823560396    1.1746924787511484    0.10430786234611124    0.028574883477449096    -0.8389663646062323    -0.8389663646062323    -0.8389663646062323    20.868298708555045    -1.0    0.3837154424549818    2.8181660246607514    0.0
12    78.23917937278748    -0.8406089071725693    0.43144773181086027    -0.1531442569729258    1.8384156590368774    0.10143747055897298    0.09629943745549172    -0.8406089071725693    -0.8406089071725693    -0.8406089071725693    20.848242642886973    -1.0    0.4902775807368522    2.963854799289579    0.0
9    80.41245412826538    -0.644458634550804    0.5249466531763963    0.04511490618569323    0.729998604302316    0.062013694216351965    0.017614189588016648    -0.644458634550804    -0.644458634550804    -0.644458634550804    13.964173472089534    -1.0    10358943.124124646    9374384.179599985    0.0
10    80.6255452632904    -0.6893252468013871    0.5019146233304469    -0.000809635683651187    0.7059023137606225    0.061175466273502656    0.017387202693897118    -0.6893252468013871    -0.6893252468013871    -0.6893252468013871    14.459802633945507    -1.0    0.6963020938830851    2.683360532057754    0.0
8    93.39789700508118    5.766747214320703    319.4967860069105    5.766747214320703    0.356715867443557    0.06714620028298983    0.034051557531499625    7.823837449204829    6.153962377754855    5.9631139388587595    0.010459168612101166    -1.0    2.2823103064460026    0.0031299219391157525    0.0
7    155.4710156917572    5.029996888976674    152.93253691818504    5.029996888976674    0.24701026114253993    0.004608869704617626    0.0031705650923529436    6.272457734068966    5.053179489252599    5.045944821527508    0.0    -1.0    7.049757093002331    0.006538830912972916    0.0
15    68.94718408584595    -1.394060443304924    0.248065998979462    -1.394060443304924    0.8883006518557583    0.005396317721394657    0.0010336513368883905    -1.394060443304924    -1.394060443304924    -1.394060443304924    61.40476690012818    -1.0    1.371287083119526    8.18781046702821    0.0
16    71.07668781280518    -0.9296045673190687    0.39470976065472224    -0.9296045673190687    1.4612776872856017    0.08383709643317033    0.01685817204315841    -0.9296045673190687    -0.9296045673190687    -0.9296045673190687    41.902004270062605    -1.0    0.6959883859555236    3.600810312770127    0.0
14    73.83575320243835    -1.9146906131268107    0.14738742526756066    -1.223954272680994    0.6622807109198927    0.006085586871270603    0.0015556541476276257    -1.9146906131268107    -1.9146906131268107    -1.9146906131268107    65.91677991841955    -1.0    8704392.803974302    50353520.638591975    0.0
13    74.96343231201172    -1.4317045169221567    0.23890136358016237    -0.7908114161136419    2.111352608219887    0.08655717472259315    0.02235989973948605    -1.4317045169221567    -1.4317045169221567    -1.4317045169221567    43.84368254257695    -1.0    0.3295348282767517    5.235669188780403    0.0
17    75.74698305130005    -0.7380611015944936    0.47803988832459304    -0.7380611015944936    0.8041330611444146    0.0926827462664225    0.020960129756935487    -0.7380611015944936    -0.7380611015944936    -0.7380611015944936    25.08851668128335    -1.0    0.8705674016751899    3.0424269892971783    0.0
18    76.98234677314758    -0.9094570602108775    0.40274282979046117    -0.9094570602108775    0.7485582128678694    0.07865883128729449    0.018059582059026566    -0.9094570602108775    -0.9094570602108775    -0.9094570602108775    28.81229827315442    -1.0    0.9223210714613711    3.850752287688227    0.0
19    78.81253504753113    -0.6681315518917413    0.512665572479736    -0.6681315518917413    0.6583270570250478    0.05709657215839097    0.013244073339436684    -0.6681315518917413    -0.6681315518917413    -0.6681315518917413    20.31140005881891    -1.0    0.9165131001696715    2.8218169205095016    0.0
20    79.68181729316711    -0.6850593302484744    0.5040603226634524    -0.6850593302484744    0.6403006394880898    0.05770753498267547    0.014306975627138188    -0.6850593302484744    -0.6850593302484744    -0.6850593302484744    20.74729427557837    -1.0    1.0585959827944706    3.0254310477737345    0.0
23    79.69376373291016    -0.8413377278521004    0.4311333983420598    -0.15776653984687275    0.7117984440079124    0.06574557249333973    0.015969211519120816    -0.8413377278521004    -0.8413377278521004    -0.8413377278521004    21.622170224651875    -1.0    0.9232616305129386    3.537681636487288    0.0
24    80.18667674064636    -0.9036505945531438    0.4050881446061427    -0.2211093340260583    0.8909121750710541    0.0693859900827606    0.016682278375144098    -0.9036505945531438    -0.9036505945531438    -0.9036505945531438    23.958181229859868    -1.0    0.8206025161451119    3.6737341865871773    0.0
22    92.34463477134705    0.22784007516697088    1.255884462258337    0.22784007516697088    0.3662472874684827    0.039569719519115414    0.01823975159723093    0.31128588467348917    0.2368556430365421    0.23199582154191087    3.6320566948444473    178.0    2.615612656652349    0.7962515900561391    0.6425102393408599
21    93.18304300308228    0.7124591681498341    2.0389993405008817    0.7124591681498341    0.35363466200220783    0.04022826106554642    0.01925013556910719    0.9644094252688749    0.7411201615647077    0.7261741037241718    2.005134891065584    196.0    2.71914837738495    0.49043664710276424    0.6063520452338669
28    69.06079697608948    -1.4835053183908804    0.22684114269699934    -0.7922623117174223    0.8866568579868999    0.005734480750495574    0.0010894367874906773    -1.4835053183908804    -1.4835053183908804    -1.4835053183908804    66.46580038025282    -1.0    1.2129960948272898    8.542712541252348    0.0
29    72.19581937789917    -0.8767235303980638    0.4161441641164381    -0.8767235303980638    1.301495008771665    0.005834837323532771    0.00075328493833615    -0.8767235303980638    -0.8767235303980638    -0.8767235303980638    59.942086411431646    -1.0    1.3990833563561382    4.365946081098304    0.0
27    72.84243750572205    -1.3223847280515437    0.26649901590384795    -0.6303428412395562    2.633076410211072    0.10578657185228421    0.02367429805995869    -1.3223847280515437    -1.3223847280515437    -1.3223847280515437    50.927995156829695    -1.0    0.3929644287495838    4.8339382824115    0.0
25    75.97695827484131    -0.7994720758730636    0.44956623834419424    -0.10765765152673917    1.4678567571970464    0.11405343901681535    0.026100102556651864    -0.7994720758730636    -0.7994720758730636    -0.7994720758730636    26.5873190248034    -1.0    0.583053482863674    2.938237370057683    0.0
30    75.19540596008301    -0.8249273544725001    0.43826682943353845    -0.8249273544725001    1.9104732393783441    0.11618948131786161    0.016335802374481418    -0.8249273544725001    -0.8249273544725001    -0.8249273544725001    52.12992765310187    -1.0    0.76516343055544    3.2624364515458826    0.0
26    77.41585350036621    -0.9628113275291649    0.38181796035601956    -0.2790520522073356    1.4653267815854714    0.10641120234702774    0.024265899975101705    -0.9628113275291649    -0.9628113275291649    -0.9628113275291649    30.733947900770822    -1.0    7375714.404570628    11941646.668997701    0.0
31    75.73905968666077    0.2832969816957571    1.3274993462884508    0.2832969816957571    1.467130639798936    0.12944138847590464    0.018867229840622772    0.6989306637041608    0.31996733635748886    0.2886420109625657    16.477533855618738    -1.0    1.0404539809398095    0.7532960395015601    0.0
33    76.67582964897156    0.6082307058313071    1.837178013186675    0.6082307058313071    1.4196961828173815    0.1285718884423978    0.01899459955111335    1.4717335171723356    0.6864320762886909    0.6197838045232639    11.334014081497376    -1.0    1.0939120186181828    0.5443130675537811    0.0
35    77.38549470901489    2.624225045003123    13.793880406456    3.3173718078028234    1.2343062511950544    0.1155403101490173    0.019186787456261213    5.8633224225931    2.9274288206036028    2.6745754931789953    1.3015114696904817    -1.0    1.2838954419586814    0.07249591634359585    0.0
32    81.61316585540771    -0.8140666419041299    0.44305266122534187    -0.8140666419041299    1.1986282183392107    0.09610802671544207    0.014398556671177828    -0.8140666419041299    -0.8140666419041299    -0.8140666419041299    50.51862410925733    -1.0    0.9094380994458923    3.4002936018940737    0.0
34    82.35869359970093    -0.7187199848933328    0.4873757051278577    -0.7187199848933328    0.9908811314375281    0.057150679533320994    0.00862495162865527    -0.7187199848933328    -0.7187199848933328    -0.7187199848933328    41.97287122280154    -1.0    1.0926153804775776    3.2010237124447967    0.0
36    86.30013513565063    0.2839802787665769    1.3284067326752105    0.9689909799544042    0.7430255033743132    0.09703954286255921    0.024320167356877535    0.4949848683454905    0.31153759520006763    0.29088672667223275    7.8781438142184435    -1.0    1.801493047679588    0.7527814903392962    0.0
42    72.15360808372498    -0.9834718273203835    0.37401034283147183    -0.30916256049371704    1.300811141883612    0.005647418446461761    0.0007288821095764157    -0.9834718273203835    -0.9834718273203835    -0.9834718273203835    67.89868596733128    -1.0    1.2753999616821232    4.808388910187158    0.0
39    75.05105900764465    0.0286554327541337    1.0290699495808016    0.7216643816821926    1.3711574772487973    0.10558932069722522    0.015437706226966766    0.06794654363876423    0.0316811404329277    0.02909780690679862    20.99268720559342    -1.0    0.8228529900646748    0.9717512404354598    0.0
37    76.63137149810791    0.2021853770457444    1.224074902469395    0.8939506969487201    1.4007340132486978    0.12543228216449984    0.018971767331567146    0.48539331165523114    0.227545950308882    0.20602119097690144    16.762522689385435    -1.0    6927523.566427639    0.8169434713371247    0.0
41    78.00536227226257    -1.093571419521282    0.3350178652343403    -0.4155070182325916    2.1476231068921927    0.12828594821204276    0.019088621394314994    -1.093571419521282    -1.093571419521282    -1.093571419521282    69.4476349122191    -1.0    0.4182397217470646    3.815085927185197    0.0
40    82.41601872444153    -1.024630218485778    0.3589291662398724    -0.3560886337615721    2.1749272310099945    0.11176470053234593    0.017173983208272247    -1.024630218485778    -1.024630218485778    -1.024630218485778    54.14756985119621    -1.0    0.6956407861614046    4.028524719598045    0.0
38    83.47667598724365    -0.792041017296391    0.45291943486485137    -0.284837647255843    1.1026094238295798    0.07303462418001933    0.011206050846305353    -0.792041017296391    -0.792041017296391    -0.792041017296391    46.39731492892465    -1.0    0.9186196967572978    3.317497257088596    0.0
43    73.87921786308289    -0.5203318074602913    0.5943233143406857    -0.5203318074602913    1.7165861011340742    0.006074412321749896    0.0005945669523735986    -0.5203318074602913    -0.5203318074602913    -0.5203318074602913    58.51124831306802    -1.0    1.3642036385046172    2.613771954001548    0.0
45    76.22853207588196    1.0167630128927894    2.764232481489601    1.0167630128927894    1.9527138197073377    0.12078825931999085    0.012858293907740034    3.002210199535809    1.1395760473610588    1.029836850547084    11.661808506076113    -1.0    6866221.403390249    0.36176407255771625    0.0
44    76.99998617172241    -0.5777106465005125    0.561181640223291    -0.5777106465005125    2.0266607506279564    0.13058876971820452    0.013902767423404913    -0.5777106465005125    -0.5777106465005125    -0.5777106465005125    60.45116238159463    -1.0    0.6636842391341065    2.3009249353074095    0.0
47    77.11289119720459    1.7898001777666923    5.988255760183225    1.7898001777666923    2.0318891693071355    0.13677943047691515    0.01472329320722919    5.42647577419482    2.034608026749102    1.8161519305663023    5.226439591186512    -1.0    1.1840589541271964    0.16699353535450906    0.0
46    79.99685382843018    -0.3776806467539773    0.6854493661963804    -0.3776806467539773    2.059605405010883    0.14941438092393364    0.01614969723832291    -0.3776806467539773    -0.3776806467539773    -0.3776806467539773    48.312887173025416    -1.0    0.8687537363860395    1.8575654179461332    0.0
48    80.68988728523254    -0.353713415986836    0.7020761423256664    -0.353713415986836    1.8052548615892503    0.11622465144269947    0.012630325984419825    -0.353713415986836    -0.353713415986836    -0.353713415986836    42.027875669246555    -1.0    1.0176220710968513    1.856171737667773    0.0
53    75.50801587104797    0.5870349466710477    1.7986474156289303    1.2801766983672558    1.7970355296742409    0.09009933580310513    0.009712884817698606    1.641957602999344    0.6399264054593203    0.5927367494920275    17.495433962168264    -1.0    1.1867221280393943    0.5559733338011283    0.0
51    76.40150570869446    1.1299241238224094    3.095421622453271    1.8228390024687242    1.8222895380767274    0.10456221998205742    0.01154785443447608    3.1889730334844986    1.2480714986205617    1.1429723231263136    9.81947801828462    -1.0    1.2159133694958382    0.323057767880891    0.0
49    77.25530099868774    2.0966521124403985    8.138876207528666    2.7897410440494497    1.8717315832901307    0.12100545516899525    0.01361316964049214    6.021022090467063    2.3503584556372843    2.125194193324146    3.613261696072655    -1.0    5816059.276477529    0.12286708563953519    0.0
50    80.91881132125854    -0.17681218748321248    0.8379371448294939    0.5117610627871741    1.6210267230378523    0.1066838245447003    0.012735577624883964    -0.17681218748321248    -0.17681218748321248    -0.17681218748321248    31.568829371195072    -1.0    1.1363699036175803    1.4131887557640797    0.0
54    80.41494011878967    -0.5571881963946207    0.5728174517297    0.11759787142715433    1.9543626966155863    0.13577732961386363    0.015415829571430393    -0.5571881963946207    -0.5571881963946207    -0.5571881963946207    51.58110710840714    -1.0    0.8647795124594336    2.390672127200774    0.0
52    81.40221285820007    -0.4841707002469166    0.6162080060752784    0.14292525819104918    1.815072060970676    0.1260047488040486    0.01419291184814487    -0.4841707002469166    -0.4841707002469166    -0.4841707002469166    49.09460999248158    -1.0    0.9167967387292149    2.1938359045199083    0.0
55    73.70234513282776    -0.12388282059052749    0.8834833608759328    0.5690353059114603    1.7166699872577806    0.005889906545965322    0.0005852566198888547    -0.12388282059052749    -0.12388282059052749    -0.12388282059052749    39.401117810841896    -1.0    1.3177311227616477    1.305669866322883    0.0
56    73.77626085281372    -0.679730027204571    0.5067537836353603    0.013402828413553678    1.6954941902988545    0.006234352562284643    0.0006228251739597053    -0.679730027204571    -0.679730027204571    -0.679730027204571    69.43816309868933    -1.0    1.3185815278255124    3.256779530541781    0.0
57    74.87797904014587    -0.24345876609694453    0.7839117991089936    -0.24345876609694453    2.1284534571900418    0.005841772019232401    0.00046063908895306105    -0.24345876609694453    -0.24345876609694453    -0.24345876609694453    57.06004315641876    -1.0    1.370086787488901    1.6533232315754613    0.0
59    76.60971713066101    1.9425923437451613    6.976813847667704    1.9425923437451613    2.3516910327726634    0.10090590074557683    0.008543656682522195    6.510969338863489    2.138611373972228    1.959189185804216    6.005244290383867    -1.0    1.2499013751907484    0.14333190218831657    0.0
58    77.10116720199585    -0.240655336109034    0.7861125243026624    -0.240655336109034    2.4870737514505183    0.12506303880589537    0.010599143772817805    -0.240655336109034    -0.240655336109034    -0.240655336109034    53.03948929960126    -1.0    0.7911690963236921    1.487345799381075    0.0
