OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_ACC    ANTICIPATION_OMEGA    ANTICIPATION_R    AGG_ACC    AGG_OMEGA    AGG_R    DCPA    CROSSING_DIST    ANT_TIME    AGG_TIME    N_CROSS
9179    73.80635929107666    -0.28444953608574547    0.7524283249844144    0.40857649438884186    1.714799720690241    0.005614317523190048    0.0005499914338322571    -0.28444953608574547    -0.28444953608574547    -0.28444953608574547    75.37884660688032    -1.0    4.000125022606472    2.645192353915795    0.0
9180    73.7809808254242    -0.28367822028225664    0.7530089087203891    0.4081948380512125    1.7166734207616592    0.00600432224758459    0.0005875893087937885    -0.28367822028225664    -0.28367822028225664    -0.28367822028225664    75.35130405186668    -1.0    4.095786012028908    2.6714460260200603    0.0
9181    74.92009282112122    0.30473019221104203    1.356259024387879    0.30473019221104203    2.126784501283917    0.006421067986749192    0.0005077141077180502    0.9528256420787552    0.3066868854928443    0.3048849080286752    49.204032534569976    -1.0    4.032265238426533    0.7373222828517808    0.0
9178    88.56573629379272    0.5729146052170953    1.7734283697559663    0.5729146052170953    1.8633235219500697    0.16441719479603653    0.02058546013720505    1.640439865186847    0.6671116174645688    0.5847083159848143    24.642005441378927    104.0    3.456338815970582    0.5638795550212189    0.7919171640751278
9182    74.75409030914307    0.3001670955565103    1.3500843818303683    0.3001670955565103    2.123492724409607    0.006041107492033618    0.00048294696627797457    0.9375697390779232    0.30198043724633866    0.30031206034468577    49.25262109643985    242.0    4.034849404232717    0.740694443590449    0.5151910734867204
9184    76.60765790939331    0.6724429503551183    1.959017261594377    0.6724429503551183    2.108322623897801    0.053349227448836765    0.00453630712819498    2.0901696358693997    0.7083172622599803    0.6754933581041186    32.69080603955432    152.0    4.052574900932313    0.5104600248321111    0.6959690731500536
9185    76.78242993354797    0.7801875988961036    2.1818815456761436    0.7801875988961036    2.465411443273845    0.11890181693782174    0.009809611857870066    2.703671033114902    0.8729533219572068    0.787840936417598    29.289564803152885    95.0    3.727905247951314    0.4583200229094517    0.8097516889373246
9183    77.60091400146484    0.3768031906123996    1.4576174083502518    0.3768031906123996    2.4479946285628618    0.12554960326031822    0.010783963367842122    1.299215377256902    0.4241106817010084    0.3808666224168497    40.762006415386566    133.0    3.9006679460287286    0.6860510819034548    0.7334747306570873
9187    77.5628399848938    0.7565157732148462    2.1308389453159435    0.7565157732148462    2.5686481402268697    0.14080470458264316    0.011627425519401179    2.699738607135453    0.8630367531744725    0.765312104022154    31.62937669006928    86.0    3.675151257636877    0.46929872489810726    0.8264912047107728
9186    78.15913701057434    0.7055611276690088    2.0249826399731883    0.7055611276690088    2.192058656000913    0.09088900916369906    0.007946679333300004    2.2521925049136247    0.7696888794672672    0.7111679957006359    30.820299014681687    125.0    3.0414011088107658    0.49383139403764986    0.7498263371592934
9189    78.30187797546387    0.6688574119652626    1.9520057076062989    0.6688574119652626    2.763986079777832    0.15643290567058185    0.012952079202549052    2.5175699879934754    0.7734887203982941    0.6775205061402486    33.16710144191536    81.0    3.7820535333372782    0.5122935840317177    0.8372597819015064
9188    79.32479286193848    0.39763868728298135    1.4883061887958826    0.39763868728298135    2.2891711425129744    0.1079086628551117    0.009831636327527586    1.307901695357923    0.44054734632714976    0.4015481262461031    41.53788889676556    136.0    3.836471737187411    0.6719047515411142    0.7264767811853559
9193    76.1488745212555    0.5603688852391793    1.7513184166672804    1.253066141973439    2.169582555777651    0.06930876159728395    0.005767751109369533    1.7761354434546712    0.5992073587127573    0.5636009534986737    36.76259822177677    -1.0    3.935482521189344    0.5709983921159109    0.0
9191    77.08506989479065    0.5823986390125844    1.7903276342770187    1.2751139349726281    2.2642964634142357    0.10154003824442318    0.008655041301244209    1.9011218176260434    0.6415354190914222    0.5874393232870267    34.67583928933491    -1.0    3.8531907898500464    0.5585569818922145    0.0
9192    81.54487347602844    0.8354491118777472    2.305849400129099    0.8354491118777472    2.4326796909001995    0.13423989220427016    0.012346387768483956    2.8678291991233515    0.9475997105983692    0.8457638905738254    26.301341031717946    116.0    3.7201698175868922    0.4336796669999404    0.7666545291573036
9190    83.09066486358643    0.3834265760523893    1.4673038132551626    0.3834265760523893    2.4447730286917664    0.162131917320134    0.015420154384059482    1.320817527668903    0.44559226197925733    0.38933907305006843    36.37618507811272    127.0    3.678425927798257    0.681522116255893    0.7447920587918544
9195    74.84048914909363    0.3179794901761817    1.374348073301649    1.0098889362993742    2.1008156892914243    0.006144765877639377    0.00048618395854486664    0.9859957920111926    0.31993339969720547    0.31813408670345167    48.80634027137502    -1.0    4.12400062810478    0.7276177115726307    0.0
9196    74.80382251739502    0.3116168425789345    1.3656313409900338    1.004677091219127    2.114959722963887    0.005818101209580637    0.0004631277533350848    0.970673913630559    0.3134298609076687    0.31176116098713946    48.70362068731529    -1.0    4.126940707242867    0.7322620461207604    0.0
9197    74.80845403671265    -0.16941198283994519    0.8441610518690064    0.5236932187272826    2.11652001576235    0.006144734298852854    0.000489915381308945    -0.16941198283994519    -0.16941198283994519    -0.16941198283994519    78.72044102910483    -1.0    4.024360058478231    1.9275374465702395    0.0
