OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_ACC    ANTICIPATION_OMEGA    ANTICIPATION_R    AGG_ACC    AGG_OMEGA    AGG_R    DCPA    CROSSING_DIST    ANT_TIME    AGG_TIME
1    55.74441385269165    8.227736234367667    3743.350085922796    8.227736234367667    0.8208036640422054    1.9229536336450775e-05    3.859964023042867e-06    14.981092282309465    8.227894449920552    8.227767993133522    0.0    -1.0    2.374638809774697    0.0002671403895031324
2    55.6183660030365    8.21942403619242    3712.3635795714663    8.21942403619242    0.8257850571268185    1.6270408453028715e-05    3.2661947718693992e-06    15.006901583469123    8.219557769578737    8.219450882432234    0.0    -1.0    1.447608929881706    0.00026937016770201
3    55.52657866477966    8.218123032426055    3707.5369210036242    8.218123032426055    0.8320454841013114    2.0714947066771345e-05    4.159102431760068e-06    15.05597518934513    8.21829327040966    8.218157212441543    0.0    -1.0    0.6260462807559137    0.0002697208473730591
4    55.69924354553223    8.218234454112196    3707.9500440337915    8.218234454112196    0.9921005660019626    1.6694727171383912e-05    3.371531566886291e-06    16.371549507573736    8.218371655294238    8.218262162149081    0.0    -1.0    0.36071477948923575    0.0002696907962956598
5    55.82723903656006    8.228469585245296    3746.0962818330963    8.228469585245296    0.8317821203758056    1.9331662726953975e-05    3.88068695298916e-06    15.072763464308455    8.228628655244076    8.22850151735986    0.0    -1.0    1.4704650660162581    0.0002669445536810028
6    55.71232223510742    8.217545215469974    3705.3952621083668    8.217545215469974    0.844088851090502    1.9175280603835322e-05    3.849859168126381e-06    15.153883515180276    8.217702789205354    8.217576851861761    0.0    -1.0    1.4257577824579564    0.0002698767416869316
7    55.81750798225403    8.217501680174056    3705.2339501405477    8.217501680174056    0.8360844392230962    2.0319996181772672e-05    4.079796436086043e-06    15.088026964257232    8.217668659776821    8.217535205908124    0.0    -1.0    1.4123434177085463    0.00026988849110649757
8    55.390202045440674    8.216868580584453    3702.888910447493    8.216868580584453    0.8307026500949246    1.170438406495208e-05    2.34919427098485e-06    15.04264308595768    8.216964753970132    8.216887883605049    0.0    0.0    1.4329520195616814    0.00027005941149856164
9    55.624184370040894    8.217459799205235    3705.078774602482    8.217459799205235    0.8358887759996771    2.188265156631991e-05    4.393733636802677e-06    15.086342212589452    8.217639619014781    8.217495904534765    0.0    10.0    1.4103261891784562    0.00026989979453467626
10    55.65259027481079    2.2415680603700103    9.408072152239532    2.2415680603700103    0.8708866825800856    2.4695015154972695e-05    4.960640519941426e-06    4.193719832243126    2.241623415927232    2.2415791799833586    3.9155917852058515    35.0    1.384039508253418    0.10629170182989682
11    55.718809366226196    3.4987751243993888    33.07491448133663    3.4987751243993888    0.9919561625377014    0.0334502900195583    0.00631709144806288    6.969406670380975    3.6158101670237643    3.520877206816427    1.040094799396158    12.0    1.8609950196086258    0.03023439412259934
12    55.73248863220215    3.435283208540514    31.04020217117779    3.435283208540514    0.931685910330603    0.016368641376649427    0.0030864759974242005    6.635888171933017    3.491514127408339    3.4458861277080284    1.1081558683091899    14.0    1.4049833275579469    0.03221628501274855
13    55.073737144470215    3.436823237842582    31.088041819838818    3.436823237842582    0.9667362769723    0.010294926144798546    0.0019508496687380616    6.759324939406405    3.4722050792488988    3.4435279633176386    1.1528641721141604    16.0    0.8186588389116469    0.03216670917374572
14    55.86980056762695    3.3736182430417703    29.183930809191228    3.3736182430417703    1.021335776189837    0.048342919739564554    0.009168404857440039    6.819215249867031    3.5367087989970694    3.404548940928423    1.1596940199493169    11.0    0.5921690588374154    0.034265432115301565
15    58.8934280872345    8.157901818955638    3490.8544697039174    8.157901818955638    1.4908864107141697    0.1834793000012861    0.03330153191167795    20.320406780777006    9.654707934176837    8.429572446711925    0.0    0.0    0.3062037298285465    0.00028646281553089685
16    55.44784617424011    3.318944615799848    27.631173660693303    3.318944615799848    0.9778293446458515    0.021068149863380986    0.0039020627794116624    6.564306054383291    3.388868638353781    3.3318953460520895    1.2823902906041198    14.0    1.3180858780511906    0.036191007022714675
17    58.25504279136658    2.866919696974988    17.582774425844676    3.559621921631451    0.7473779773859154    0.009022998977904997    0.0020502079591634627    5.009592341427997    2.892787910470529    2.872797478556009    2.0258060941793516    -1.0    1.6440798933709795    0.05687384571857521
18    57.4657838344574    2.7260354915261114    15.272219996312428    3.419093697240974    0.786049729270726    0.011691827300055782    0.0025507059114839186    4.868834951622602    2.757907827706857    2.732988806369262    2.3323459835481017    -1.0    1.5285565485656627    0.06547836530913359
