OPUS    TIME   LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV   ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP
1    31.025752544403076    10.0    250.0    10.0    5.815235293246203    0.5293387314115029    0.43727330296948497    0.49246748103180077
1    31.025752544403076    10.0    250.0    10.0    5.815235293246203    0.5293387314115029    0.43727330296948497    0.49246748103180077
2    31.164923906326294    10.0    250.0    10.0    7.78239442660508    1.0185716043514594    0.7704444609422729    0.9194701615929631
3    31.199772357940674    10.0    250.0    10.0    8.674945803674625    1.0029099052174475    0.8515027615828771    0.9446861109633208
4    31.155041933059692    10.0    250.0    10.0    11.542787291413411    0.6186419756260941    0.6123023506944272    0.615727813096941
5    31.100660800933838    10.0    250.0    10.0    5.5131105812757255    0.4844464097973399    0.3757956067212115    0.4417473241955037
6    31.208308219909668    10.0    250.0    10.0    5.821433218019933    0.36785572249127996    0.302705176158594    0.3419072049411831
7    31.333417892456055    10.0    250.0    10.0    6.447198449197403    0.9685908572622114    0.5468859665588646    0.7823461809991941
8    31.119094133377075    10.0    250.0    5.439004629262805    5.662808076189129    0.49394421840238356    0.39797907273187627    0.4553515291500602
9    31.293314456939697    4.734657253990459    113.82443915938293    3.2877473365718224    11.604022533733328    2.041949104645962    1.656543755175549    1.890675075221161
10    31.14878225326538    10.0    250.0    10.0    6.140703752193981    0.4727571177004524    0.40415243648895915    0.44531507425543576
10    31.14878225326538    10.0    250.0    10.0    6.140703752193981    0.4727571177004524    0.40415243648895915    0.44531507425543576
11    31.10551619529724    10.0    250.0    10.0    4.50588244547546    0.4695216026980039    0.3522560056536386    0.4252367189753896
12    31.105776071548462    10.0    250.0    10.0    7.974033583603774    0.5379367797024239    0.5017119032245204    0.5231107178516582
13    31.025623559951782    10.0    250.0    10.0    12.152173877766574    0.5023731333742395    0.4990190805843233    0.5008120638090661
14    31.21110725402832    10.0    250.0    10.0    2.7738730710157222    0.2588601140191739    0.192244729144392    0.23300650611885396
15    31.20785093307495    10.0    250.0    10.0    4.390794173012739    0.3186080405377854    0.2604127971694738    0.2958345405013797
16    31.329843997955322    10.0    250.0    10.0    4.320570716737883    0.30061140328843966    0.24306849849408763    0.277966176464075
17    31.096422910690308    10.0    250.0    6.918954438580286    4.7335106202295085    0.4691906480767715    0.42856591456987153    0.45258280572607723
18    31.109910488128662    4.801776409463416    121.726461608889    3.2906631214295974    3.617882099680993    0.2329666025842902    0.17216157577718105    0.20909516621471635
