OPUS    TIME    LOG_COL    NAT_COL    OFFSET_LOG    ANTICIPATION_INV    ANTICIPATION_OFF    ANTICIPATION_LIN    ANTICIPATION_EXP    DCPA    CROSSING_DIST
1    46.578938484191895    3.3037666411471145    27.21495507517387    3.3037666411471145    0.024251524860915107    0.02662299843871282    0.00754627420546092    0.013346662248368347    2.0008266279495146    61.0
2    63.90349793434143    1.7521490987998167    5.766983184412959    1.7521490987998167    0.06406182840007658    0.07002452535561392    0.04053103424428934    0.04056038495191654    17.777521065117483    137.0
3    72.91700911521912    1.2948174218709383    3.650329442975959    1.2948174218709383    0.38015578902342734    0.3808884511017252    0.2666966114794495    0.36815984892246556    41.99689051834938    211.0
4    75.09346747398376    1.7632203504843316    5.831185651757985    1.7632203504843316    0.52695050734942    0.5361183386910316    0.6649098594770524    0.5729678008744677    34.94614839993695    290.0
5    79.09605813026428    1.5793261952607367    4.851685620861519    1.5793261952607367    0.658231002833996    0.6707962370682751    0.9551070921821212    0.7521147788907824    48.861605780383414    366.0
6    83.08137655258179    1.5124049329628646    4.537630379548089    1.5124049329628646    0.7674814080323749    0.7776408225742591    1.1255538923652093    0.8708529738070389    57.28746290598838    440.0
7    70.16256356239319    2.677922462121596    14.554823666137107    2.677922462121596    0.830894129167038    0.8408314415792938    0.9750205373376787    0.8873727228853688    26.196046566927222    -1.0
8    65.86960744857788    2.60706452150175    13.559189664911091    2.60706452150175    1.0382280453151953    1.06267877291726    1.3593002095459668    1.1551938412765757    30.8472947949532    434.0
9    76.67719507217407    2.50732228716136    12.272025066033029    2.50732228716136    1.1786071661059323    1.2124923260035536    1.515899664563463    1.3006554403394515    36.03578866925775    423.0
10    66.17758011817932    3.155492009137855    23.464579039129493    3.155492009137855    1.2246525722704664    1.251698297810742    1.445798823585708    1.307858369362122    23.351490312943923    420.0
