OPUS    ANGLE    U_D    RLD    LLD    RLW    LLW    LD   GROUP
1    1.5707963267948966    5.14444    0.1    0.1    300.0    300.0    150.0   0
2    1.5707963267948966    5.14444    0.1    0.1    300.0    300.0    150.0   0
3    1.5707963267948966    5.14444    0.1    0.1    300.0    300.0    150.0   0
7    1.5707963267948966    5.14444    0.3    0.3    300.0    300.0    150.0   0
8    1.5707963267948966    5.14444    0.3    0.3    300.0    300.0    150.0   0
9    1.5707963267948966    5.14444    0.3    0.3    300.0    300.0    150.0   0
13    1.5707963267948966    5.14444    0.5    0.5    300.0    300.0    150.0   0
14    1.5707963267948966    5.14444    0.5    0.5    300.0    300.0    150.0   0
15    1.5707963267948966    5.14444    0.5    0.5    300.0    300.0    150.0   0
19    1.5707963267948966    5.14444    0.7    0.7    300.0    300.0    150.0   0
20    1.5707963267948966    5.14444    0.7    0.7    300.0    300.0    150.0   0
21    1.5707963267948966    5.14444    0.7    0.7    300.0    300.0    150.0   0
4    1.5707963267948966    5.14444    0.2    0.2    300.0    300.0    150.0   0
5    1.5707963267948966    5.14444    0.2    0.2    300.0    300.0    150.0   0
6    1.5707963267948966    5.14444    0.2    0.2    300.0    300.0    150.0   0
10    1.5707963267948966    5.14444    0.4    0.4    300.0    300.0    150.0   0
11    1.5707963267948966    5.14444    0.4    0.4    300.0    300.0    150.0   0
12    1.5707963267948966    5.14444    0.4    0.4    300.0    300.0    150.0   0
16    1.5707963267948966    5.14444    0.6    0.6    300.0    300.0    150.0   0
17    1.5707963267948966    5.14444    0.6    0.6    300.0    300.0    150.0   0
18    1.5707963267948966    5.14444    0.6    0.6    300.0    300.0    150.0   0
22    1.5707963267948966    5.14444    0.8    0.8    300.0    300.0    150.0   0
23    1.5707963267948966    5.14444    0.8    0.8    300.0    300.0    150.0   0
24    1.5707963267948966    5.14444    0.8    0.8    300.0    300.0    150.0   0
25    1.5707963267948966    5.14444    0.9    0.9    300.0    300.0    150.0   0
26    1.5707963267948966    5.14444    0.9    0.9    300.0    300.0    150.0   0
27    1.5707963267948966    5.14444    0.9    0.9    300.0    300.0    150.0   0
