OPUS    ANGLE    U_D    RLNOB    LLNOB    RLW    LLW    LD    LL     RLD    LLD    GP
27    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
28    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
29    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
30    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
31    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
32    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
33    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
34    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
35    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
36    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
37    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
38    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
39    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
40    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
41    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
42    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
43    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
44    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
45    1.5707963267948966    7.71666    6    6    400.0    400.0    200    1000.0    1.4999999999999999e-05    1.4999999999999999e-05    0    
46    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
47    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
48    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
49    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
50    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
51    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
52    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
53    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
54    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
55    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
56    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
57    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
58    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
59    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
60    1.5707963267948966    7.71666    7    7    400.0    400.0    200    1000.0    1.7500000000000002e-05    1.7500000000000002e-05    0    
