OPUS    ANGLE    U_D    RLNOB    LLNOB    RLW    LLW    LD    LL     RLD    LLD    GP
1    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
2    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
3    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
4    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
5    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
6    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
7    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
8    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
9    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
10    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
11    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
12    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
13    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
14    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
15    1.5707963267948966    7.71666    4    4    400.0    400.0    200    1000.0    1e-05    1e-05    0    
16    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
17    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
18    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
19    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
20    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
21    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
22    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
23    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
24    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
25    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
26    1.5707963267948966    7.71666    5    5    400.0    400.0    200    1000.0    1.25e-05    1.25e-05    0    
